skyscraper,skyscraperLabel,height,floors,countryLabel,cityLabel,year,architectLabel
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q520839,Нина-тауэр,,80,Китай,Гонконг,2006-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q500732,Bridgewater Place,,32,Великобритания,Сити-оф-Лидс,2007-01-01T00:00:00Z,Aedas
http://www.wikidata.org/entity/Q492112,Здание Андраус,115,32,Бразилия,Сан-Паулу,1962-01-01T00:00:00Z,Majer Botkowski
http://www.wikidata.org/entity/Q499486,Бэнк оф Америка Плаза,311.8,55,США,Атланта,1992-01-01T00:00:00Z,Кевин Роч
http://www.wikidata.org/entity/Q218305,"Уолл-стрит, 40",284,70,США,Манхэттен,1930-01-01T00:00:00Z,"Shreve, Lamb & Harmon"
http://www.wikidata.org/entity/Q273780,Hydro-Québec Building,110,27,Канада,Монреаль,1962-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q333305,OUB Centre,280,63,Сингапур,Раффлз-плейс,1986-01-01T00:00:00Z,Кэндзо Тангэ
http://www.wikidata.org/entity/Q308279,apm,,,Китай,Куньтхон,2005-07-17T00:00:00Z,
http://www.wikidata.org/entity/Q223207,Восточная жемчужина,468,153,Китай,Шанхай,1998-01-01T00:00:00Z,East China Architectural Design & Research Institute
http://www.wikidata.org/entity/Q247799,Oxford Tower,150,46,Польша,Средместье,1978-01-01T00:00:00Z,Ежи Скшипчак
http://www.wikidata.org/entity/Q218305,"Уолл-стрит, 40",284,70,США,Манхэттен,1930-01-01T00:00:00Z,Ясуо Мацуи
http://www.wikidata.org/entity/Q244114,55 Water Street,209,53,США,Манхэттен,1972-01-01T00:00:00Z,Emery Roth & Sons
http://www.wikidata.org/entity/Q336246,Агбар,144,34,Испания,El Parc i la Llacuna del Poblenou,2005-01-01T00:00:00Z,Жан Нувель
http://www.wikidata.org/entity/Q214855,Башня Банка Китая,367.4,72,Китай,Гонконг,1990-01-01T00:00:00Z,Бэй Юймин
http://www.wikidata.org/entity/Q216357,Большая арка Дефанс,110.9,,Франция,Дефанс,1989-01-01T00:00:00Z,Erik Reitzel
http://www.wikidata.org/entity/Q280910,Vdara,,57,США,Невада,2009-01-01T00:00:00Z,Рафаэль Виньоли
http://www.wikidata.org/entity/Q214855,Башня Банка Китая,367.4,72,Китай,Центральный и Западный округ Гонконга,1990-01-01T00:00:00Z,Бэй Юймин
http://www.wikidata.org/entity/Q228242,"Мэдисон-авеню, 383",230,47,США,Манхэттен,2001-01-01T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q278518,Tour T1,185,37,Франция,Курбевуа,2008-01-01T00:00:00Z,Jean Pistre
http://www.wikidata.org/entity/Q216357,Большая арка Дефанс,110.9,,Франция,Дефанс,1989-01-01T00:00:00Z,Johan Otto von Spreckelsen
http://www.wikidata.org/entity/Q274916,Нью-Йорк-бай-Гери,300,76,США,Манхэттен,2011-01-01T00:00:00Z,Фрэнк Гери
http://www.wikidata.org/entity/Q244391,Дженерал-электрик-билдинг,195,50,США,Манхэттен,1931-01-01T00:00:00Z,John Walter Cross
