skyscraper,skyscraperLabel,height,floors,countryLabel,cityLabel,constructionYear,architectLabel
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q570717,1818 Market Street,500,40,США,Center City,,EwingCole
http://www.wikidata.org/entity/Q572887,8 Canada Square,199.51,45,Великобритания,Тауэр-Хэмлетс,2002,Foster and Partners
http://www.wikidata.org/entity/Q604289,Международный отель Лунси,328,74,Китай,Уси,2011,
http://www.wikidata.org/entity/Q526963,Штаб-квартира BMW,101,20,Германия,Мюнхен,1972,Карл Шванцер
http://www.wikidata.org/entity/Q598603,Sinar Mas Center,320,67,Китай,Шанхай,2016,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q602277,SunAmerica Center,,39,США,Лос-Анджелес,1990,
http://www.wikidata.org/entity/Q597184,Riparian Plaza,,53,Австралия,Квинсленд,2005,Harry Seidler
http://www.wikidata.org/entity/Q587331,Atlas Tower,116,31,Польша,Варшава,1999,Vahap Toy
http://www.wikidata.org/entity/Q575128,Эмиратская корона,296,63,Объединённые Арабские Эмираты,Дубай,2008,
http://www.wikidata.org/entity/Q593320,Four Seasons Hotel and Residences Toronto,205,52,Канада,Торонто,2012,architectsAlliance
http://www.wikidata.org/entity/Q602942,Sunshine 60,239.7,60,Япония,Хигаши-Икэбукуро,1978,Mitsubishi Estate
http://www.wikidata.org/entity/Q593320,Four Seasons Hotel and Residences Toronto,205,52,Канада,Торонто,2012,Peter Clewes
http://www.wikidata.org/entity/Q572970,Shenzhen Special Zone Press Tower,262,42,Китай,Lianhua Subdistrict,1998,
http://www.wikidata.org/entity/Q543353,Plaza 66,,66,Китай,Шанхай,2006,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q604001,Здание штаб-квартиры «Газпрома»,150.9,35,Россия,Москва,1995,"Хавин, Владимир Иосифович"
http://www.wikidata.org/entity/Q557933,Башня Аль-Хамра,412,80,Кувейт,Эль-Кувейт,2011,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q587108,Yokohama Landmark Tower,295.8,70,Япония,Minatomirai,1993,Mitsubishi Estate
http://www.wikidata.org/entity/Q607743,Аон-центр,262,62,США,Калифорния,1973,Чарльз Лакман
http://www.wikidata.org/entity/Q525790,Cadillac Place,67.1,15,США,Детройт,1922,Альберт Кан
http://www.wikidata.org/entity/Q587108,Yokohama Landmark Tower,295.8,70,Япония,Minatomirai,1993,Хью Стаббинс
http://www.wikidata.org/entity/Q606823,Prudential Tower,,52,США,Бостон,1964,Чарльз Лакман
http://www.wikidata.org/entity/Q579403,Chase Tower,,55,США,Техас,1987,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q531752,CenterPoint Energy Plaza,226,47,США,Техас,1996,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q599363,MLC Centre,,67,Австралия,Новый Южный Уэльс,1977,Harry Seidler
http://www.wikidata.org/entity/Q587586,Републик Плаза,,66,Сингапур,Раффлз-плейс,1995,Кисё Курокава
http://www.wikidata.org/entity/Q555225,Grand Prince Hotel Akasaka,,39,Япония,Kioichō,1955,Кэндзо Тангэ
http://www.wikidata.org/entity/Q591683,Харборфронт-лендмарк,,70,Китай,Hung Hom,2001,
http://www.wikidata.org/entity/Q603350,First City Tower,,49,США,Техас,1981,
http://www.wikidata.org/entity/Q599363,MLC Centre,,67,Австралия и Океания,Новый Южный Уэльс,1977,Harry Seidler
